Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.85     0.00  2401052     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.85     0.00  2401052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.85     0.00  2401052     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.85     0.00  2400000     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.85     0.00  2400000     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.85     0.00  2400000     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.85     0.00  2400000     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.85     0.00  1801052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.85     0.00  1229500     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      0.85     0.00  1201052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      0.85     0.00  1201052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      0.85     0.00  1201050     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&)
  0.00      0.85     0.00  1201050     0.00     0.01  std::vector<double, std::allocator<double> >::end() const
  0.00      0.85     0.00  1201050     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.85     0.00  1201050     0.00     0.00  std::allocator_traits<std::allocator<double> >::select_on_container_copy_construction(std::allocator<double> const&)
  0.00      0.85     0.00  1201050     0.00     0.03  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      0.85     0.00  1201050     0.00     0.03  double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      0.85     0.00  1201050     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.85     0.00  1200000     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00      0.85     0.00  1200000     0.00     0.01  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.85     0.00  1200000     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      0.85     0.00  1200000     0.00     0.41  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double&&)
  0.00      0.85     0.00  1200000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator*()
  0.00      0.85     0.00  1200000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.85     0.00  1200000     0.00     0.41  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      0.85     0.00  1200000     0.00     0.41  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      0.85     0.00  1200000     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.85     0.00  1200000     0.00     0.00  vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}::operator()(double, double) const
  0.00      0.85     0.00   651896     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.85     0.00   600002     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      0.85     0.00   600002     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.85     0.00   600000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      0.85     0.00   600000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      0.85     0.00   600000     0.00     0.02  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::back_insert_iterator(std::vector<double, std::allocator<double> >&)
  0.00      0.85     0.00   600000     0.00     0.02  std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::back_inserter<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00      0.85     0.00    29500     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.85     0.00     3852     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
