Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >* std::uninitialized_fill_n<std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> > const&)
  0.00      0.00     0.00        1     0.00     0.00  double* std::uninitialized_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.00     0.00        1     0.00     0.00  int* std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >* std::__uninitialized_fill_n_a<std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> > const&, std::allocator<std::vector<double, std::allocator<double> > >&)
  0.00      0.00     0.00        1     0.00     0.00  double* std::__uninitialized_fill_n_a<double*, unsigned long, double, double>(double*, unsigned long, double const&, std::allocator<double>&)
  0.00      0.00     0.00        1     0.00     0.00  int* std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      0.00     0.00        1     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.00     0.00        1     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<std::vector<double, std::allocator<double> >*>(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> > >&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00      60/60          main [6]
[8]      0.0    0.00    0.00      60         std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) [8]
-----------------------------------------------
                0.00    0.00      60/60          main [6]
[9]      0.0    0.00    0.00      60         std::vector<double, std::allocator<double> >::operator[](unsigned long) [9]
-----------------------------------------------
                0.00    0.00      10/40          main [6]
                0.00    0.00      30/40          find_indexes(std::vector<int, std::allocator<int> >, int) [88]
[10]     0.0    0.00    0.00      40         std::vector<int, std::allocator<int> >::operator[](unsigned long) [10]
-----------------------------------------------
                0.00    0.00      22/22          std::allocator<double>::~allocator() [12]
[11]     0.0    0.00    0.00      22         __gnu_cxx::new_allocator<double>::~new_allocator() [11]
-----------------------------------------------
                0.00    0.00       1/22          main [6]
                0.00    0.00      10/22          std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&) [54]
                0.00    0.00      11/22          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl() [32]
[12]     0.0    0.00    0.00      22         std::allocator<double>::~allocator() [12]
                0.00    0.00      22/22          __gnu_cxx::new_allocator<double>::~new_allocator() [11]
-----------------------------------------------
                0.00    0.00       1/22          std::vector<double, std::allocator<double> >::_M_fill_initialize(unsigned long, double const&) [136]
                0.00    0.00      10/22          std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&) [54]
                0.00    0.00      11/22          std::vector<double, std::allocator<double> >::~vector() [39]
[13]     0.0    0.00    0.00      22         std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() [13]
-----------------------------------------------
                0.00    0.00      21/21          std::allocator<double>::allocator(std::allocator<double> const&) [15]
[14]     0.0    0.00    0.00      21         __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&) [14]
-----------------------------------------------
                0.00    0.00      10/21          std::allocator_traits<std::allocator<double> >::select_on_container_copy_construction(std::allocator<double> const&) [52]
                0.00    0.00      11/21          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&) [31]
[15]     0.0    0.00    0.00      21         std::allocator<double>::allocator(std::allocator<double> const&) [15]
                0.00    0.00      21/21          __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&) [14]
-----------------------------------------------
                0.00    0.00      10/20          std::vector<double, std::allocator<double> >::begin() const [50]
                0.00    0.00      10/20          std::vector<double, std::allocator<double> >::end() const [48]
