Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.94      1.02     0.01      750     0.01     0.01  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.94      1.03     0.01       15     0.67     0.67  std::fabs(float)
  0.94      1.04     0.01        2     5.00     7.50  int* std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.47      1.05     0.01  6000000     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.47      1.05     0.01  1501052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.47      1.06     0.01  1501052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.47      1.06     0.01        2     2.50     2.50  int* std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      1.06     0.00 10501052     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      1.06     0.00  6000000     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00      1.06     0.00  4501050     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      1.06     0.00  4500000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      1.06     0.00  3752104     0.00     0.00  std::allocator<double>::~allocator()
  0.00      1.06     0.00  3751052     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      1.06     0.00  3002102     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      1.06     0.00  3002102     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      1.06     0.00  3002100     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      1.06     0.00  3002100     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      1.06     0.00  3002100     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      1.06     0.00  3001052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      1.06     0.00  3001052     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      1.06     0.00  3000000     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      1.06     0.00  3000000     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      1.06     0.00  3000000     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      1.06     0.00  3000000     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00      1.06     0.00  3000000     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      1.06     0.00  3000000     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      1.06     0.00  2251052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      1.06     0.00  2251052     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      1.06     0.00  1501050     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&)
  0.00      1.06     0.00  1501050     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      1.06     0.00  1501050     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
